"VMID","VMNAME","VMSIZE","NICID","NICID1","PRIVATEIP"
"/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-tse-rg/providers/Microsoft.Compute/virtualMachines/UEMCTRIPTSEU1","UEMCTRIPTSEU1","Standard_E4s_v3","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-tse-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIPTSEU1-nic","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-tse-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIPTSEU1-nic","10.33.0.53"
"/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-twx-rg/providers/Microsoft.Compute/virtualMachines/UEMCTRIATWXU1","UEMCTRIATWXU1","Standard_E4s_v3","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-twx-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIATWXU1-nic","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-twx-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIATWXU1-nic","10.33.0.22"
"/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-twx-rg/providers/Microsoft.Compute/virtualMachines/UEMCTRIPTWXU1","UEMCTRIPTWXU1","Standard_E4s_v3","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-twx-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIPTWXU1-nic","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-twx-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIPTWXU1-nic","10.33.0.55"
"/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-utx-rg/providers/Microsoft.Compute/virtualMachines/UEMCSQLUTXU1","UEMCSQLUTXU1","Standard_E16s_v3","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-utx-rg/providers/Microsoft.Network/networkInterfaces/UEMCSQLUTXU1-nic","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-utx-rg/providers/Microsoft.Network/networkInterfaces/UEMCSQLUTXU1-nic","10.33.0.185"
"/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-utx-rg/providers/Microsoft.Compute/virtualMachines/UEMCTRIAUTXU1","UEMCTRIAUTXU1","Standard_E4s_v3","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-utx-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIAUTXU1-nic","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-utx-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIAUTXU1-nic","10.33.0.203"
"/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-utx-rg/providers/Microsoft.Compute/virtualMachines/UEMCTRIBUTXU1","UEMCTRIBUTXU1","Standard_E4s_v3","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-utx-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIBUTXU1-nic","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-utx-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIBUTXU1-nic","10.33.0.202"
"/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-utx-rg/providers/Microsoft.Compute/virtualMachines/UEMCTRIPUTXU1","UEMCTRIPUTXU1","Standard_D8s_v3","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-utx-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIPUTXU1-nic","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u1-eastus-utx-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIPUTXU1-nic","10.33.0.204"
"/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u2-eastus-ci-rg/providers/Microsoft.Compute/virtualMachines/UEMCSQLCIU2","UEMCSQLCIU2","Standard_E16s_v3","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u2-eastus-ci-rg/providers/Microsoft.Network/networkInterfaces/uemcsqlciu2475","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u2-eastus-ci-rg/providers/Microsoft.Network/networkInterfaces/uemcsqlciu2475","10.33.0.166"
"/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u2-eastus-ci-rg/providers/Microsoft.Compute/virtualMachines/UEMCTRIACIU2","UEMCTRIACIU2","Standard_E4s_v3","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u2-eastus-ci-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIACIU2-nic","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u2-eastus-ci-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIACIU2-nic","10.33.0.128"
"/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u2-eastus-ci-rg/providers/Microsoft.Compute/virtualMachines/UEMCTRIBCIU2","UEMCTRIBCIU2","Standard_E4s_v3","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u2-eastus-ci-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIBCIU2-nic","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u2-eastus-ci-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIBCIU2-nic","10.33.0.127"
"/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u2-eastus-ci-rg/providers/Microsoft.Compute/virtualMachines/UEMCTRIPCIU2","UEMCTRIPCIU2","Standard_E4s_v3","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u2-eastus-ci-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIPCIU2-nic","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u2-eastus-ci-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIPCIU2-nic","10.33.0.132"
"/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u2-eastus-mar-rg/providers/Microsoft.Compute/virtualMachines/UEMCTRIBMARU2","UEMCTRIBMARU2","Standard_E4s_v3","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u2-eastus-mar-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIBMARU2-nic","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u2-eastus-mar-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIBMARU2-nic","10.33.0.108"
"/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u2-eastus-mar-rg/providers/Microsoft.Compute/virtualMachines/UEMCTRIPMARU2","UEMCTRIPMARU2","Standard_E4s_v3","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u2-eastus-mar-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIPMARU2-nic","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u2-eastus-mar-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIPMARU2-nic","10.33.0.20"
"/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u2-eastus-utx-rg/providers/Microsoft.Compute/virtualMachines/UEMCTRIAUTXU2","UEMCTRIAUTXU2","Standard_E4s_v3","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u2-eastus-utx-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIAUTXU2-nic","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u2-eastus-utx-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIAUTXU2-nic","10.33.0.15"
"/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u2-eastus-utx-rg/providers/Microsoft.Compute/virtualMachines/UEMCTRIBUTXU2","UEMCTRIBUTXU2","Standard_E4s_v3","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u2-eastus-utx-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIBUTXU2-nic","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u2-eastus-utx-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIBUTXU2-nic","10.33.0.25"
"/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u2-eastus-utx-rg/providers/Microsoft.Compute/virtualMachines/UEMCTRIPUTXU2","UEMCTRIPUTXU2","Standard_D8s_v3","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u2-eastus-utx-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIPUTXU2-nic","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u2-eastus-utx-rg/providers/Microsoft.Network/networkInterfaces/UEMCTRIPUTXU2-nic","10.33.0.28"
"/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u2-eastus-wbc-rg/providers/Microsoft.Compute/virtualMachines/UEMCSQLWBCU2","UEMCSQLWBCU2","Standard_E16s_v3","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u2-eastus-wbc-rg/providers/Microsoft.Network/networkInterfaces/UEMCSQLWBCU2-nic","/subscriptions/f10d3076-a0a1-47f3-8dec-99494e08ddd5/resourceGroups/klt-u2-eastus-wbc-rg/providers/Microsoft.Network/networkInterfaces/UEMCSQLWBCU2-nic","10.33.0.17"
