VMID,VMNAME,VMSIZE,NICID,NICID1,PRIVATEIP
/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/packer-demo/providers/Microsoft.Compute/virtualMachines/cis-demo-vm,cis-demo-vm,Standard_D4s_v3,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/packer-demo/providers/Microsoft.Network/networkInterfaces/cis-demo-vm705,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/packer-demo/providers/Microsoft.Network/networkInterfaces/cis-demo-vm705,10.16.70.4
/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/packer-demo/providers/Microsoft.Compute/virtualMachines/pkrvmx0wvwzxkfg,pkrvmx0wvwzxkfg,Standard_D8_v4,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/packer-demo/providers/Microsoft.Network/networkInterfaces/pkrnix0wvwzxkfg,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/packer-demo/providers/Microsoft.Network/networkInterfaces/pkrnix0wvwzxkfg,10.16.70.5
/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/pdp-eus-d1-baseinfra-rg/providers/Microsoft.Compute/virtualMachines/PDPEUSD1ADFSHIR1VM,PDPEUSD1ADFSHIR1VM,Standard_B2ms,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/pdp-eus-d1-baseinfra-rg/providers/Microsoft.Network/networkInterfaces/pdpeusd1adfshir1vm18,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/pdp-eus-d1-baseinfra-rg/providers/Microsoft.Network/networkInterfaces/pdpeusd1adfshir1vm18,10.16.23.5
/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/pdp-eus-d2-hr-baseinfra-rg/providers/Microsoft.Compute/virtualMachines/PDPEUSD2HRSHIR1VM,PDPEUSD2HRSHIR1VM,Standard_B2ms,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/pdp-eus-d2-hr-baseinfra-rg/providers/Microsoft.Network/networkInterfaces/pdpeusd2hrshir1vm776,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/pdp-eus-d2-hr-baseinfra-rg/providers/Microsoft.Network/networkInterfaces/pdpeusd2hrshir1vm776,10.16.23.4
/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/pdp-eus-qa1-baseinfra-rg/providers/Microsoft.Compute/virtualMachines/PDPEUSQA1ADFSHIR1VM,PDPEUSQA1ADFSHIR1VM,Standard_DS1_v2,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/pdp-eus-qa1-baseinfra-rg/providers/Microsoft.Network/networkInterfaces/pdpeusqa1adfshir1vm170,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/pdp-eus-qa1-baseinfra-rg/providers/Microsoft.Network/networkInterfaces/pdpeusqa1adfshir1vm170,10.16.23.7
/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/pdp-eus-qa1-baseinfra-rg/providers/Microsoft.Compute/virtualMachines/pdpeusqa1mgmtvm,pdpeusqa1mgmtvm,Standard_DS1_v2,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/pdp-eus-qa1-baseinfra-rg/providers/Microsoft.Network/networkInterfaces/pdpeusqa1mgmtvm238,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/pdp-eus-qa1-baseinfra-rg/providers/Microsoft.Network/networkInterfaces/pdpeusqa1mgmtvm238,10.16.23.8
/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/pdp-eus-qa2-baseinfra-rg/providers/Microsoft.Compute/virtualMachines/PDPEUSQA2ADFSHIR1VM,PDPEUSQA2ADFSHIR1VM,Standard_DS1_v2,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/pdp-eus-qa2-baseinfra-rg/providers/Microsoft.Network/networkInterfaces/pdpeusqa2adfshir1vm619,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/pdp-eus-qa2-baseinfra-rg/providers/Microsoft.Network/networkInterfaces/pdpeusqa2adfshir1vm619,10.16.23.10
/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/pod-d1-eastus-azagentpool-rg/providers/Microsoft.Compute/virtualMachines/UEMCPODSPCR1NP1,UEMCPODSPCR1NP1,Standard_B2ms,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/pod-d1-eastus-azagentpool-rg/providers/Microsoft.Network/networkInterfaces/uemcpodspcr1np1194,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/pod-d1-eastus-azagentpool-rg/providers/Microsoft.Network/networkInterfaces/uemcpodspcr1np1194,10.16.1.133
/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/pod-d1-eastus-azagentpool-rg/providers/Microsoft.Compute/virtualMachines/pypod-devops-agent,pypod-devops-agent,Standard_B2ms,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/pod-d1-eastus-azagentpool-rg/providers/Microsoft.Network/networkInterfaces/pypod-devops-agent680,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/pod-d1-eastus-azagentpool-rg/providers/Microsoft.Network/networkInterfaces/pypod-devops-agent680,10.16.1.145
/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/pod-d1-eastus-azagentpool-rg/providers/Microsoft.Compute/virtualMachines/pypod-devops-pipeline,pypod-devops-pipeline,Standard_B2ms,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/pod-d1-eastus-azagentpool-rg/providers/Microsoft.Network/networkInterfaces/pypod-devops-pipelin607,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/pod-d1-eastus-azagentpool-rg/providers/Microsoft.Network/networkInterfaces/pypod-devops-pipelin607,10.16.1.135
/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/pod-d1-eastus-eshitadev-rg/providers/Microsoft.Compute/virtualMachines/UEMCESHIDEVD1,UEMCESHIDEVD1,Standard_B2ms,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/pod-d1-eastus-eshitadev-rg/providers/Microsoft.Network/networkInterfaces/uemceshidevd1660,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/pod-d1-eastus-eshitadev-rg/providers/Microsoft.Network/networkInterfaces/uemceshidevd1660,10.16.1.132
/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/rgp-cyberiam-client1-qa1/providers/Microsoft.Compute/virtualMachines/UEMCCICL2QA1,UEMCCICL2QA1,Standard_B2ms,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/rgp-cyberiam-client1-qa1/providers/Microsoft.Network/networkInterfaces/uemccicl2qa-additional,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/rgp-cyberiam-client1-qa1/providers/Microsoft.Network/networkInterfaces/uemccicl2qa-additional,10.16.1.144
/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/rgp-cyberiam-client1-qa1/providers/Microsoft.Compute/virtualMachines/UEMCCICL5QA1,UEMCCICL5QA1,Standard_DS1_v2,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/rgp-cyberiam-client1-qa1/providers/Microsoft.Network/networkInterfaces/uemccicl5qa1139,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/rgp-cyberiam-client1-qa1/providers/Microsoft.Network/networkInterfaces/uemccicl5qa1139,10.16.1.154
/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/rgp-cyberiam-client1-qa1/providers/Microsoft.Compute/virtualMachines/UEMCCICL6QA1,UEMCCICL6QA1,Standard_DS1_v2,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/rgp-cyberiam-client1-qa1/providers/Microsoft.Network/networkInterfaces/uemccicl6qa1953,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/rgp-cyberiam-client1-qa1/providers/Microsoft.Network/networkInterfaces/uemccicl6qa1953,10.16.1.158
/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/rgp-cyberiam-client1-qa1/providers/Microsoft.Compute/virtualMachines/UEMCCICL7QA1,UEMCCICL7QA1,Standard_DS1_v2,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/rgp-cyberiam-client1-qa1/providers/Microsoft.Network/networkInterfaces/uemccicl7qa1216,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/rgp-cyberiam-client1-qa1/providers/Microsoft.Network/networkInterfaces/uemccicl7qa1216,10.16.1.168
/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/rgp-cyberiam-client1-qa1/providers/Microsoft.Compute/virtualMachines/UEMCCICLQA1,UEMCCICLQA1,Standard_B2ms,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/rgp-cyberiam-client1-qa1/providers/Microsoft.Network/networkInterfaces/uemcciclqa1-add,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/rgp-cyberiam-client1-qa1/providers/Microsoft.Network/networkInterfaces/uemcciclqa1-add,10.16.1.147
/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/rgp-use-odp-mgmt-d0/providers/Microsoft.Compute/virtualMachines/VMWUSEODPAVDEV,VMWUSEODPAVDEV,Standard_D2s_v3,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/rgp-use-odp-mgmt-d0/providers/Microsoft.Network/networkInterfaces/vmwuseodpavdev100,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/rgp-use-odp-mgmt-d0/providers/Microsoft.Network/networkInterfaces/vmwuseodpavdev100,10.16.0.155
/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/spec-eus-np-devops-rg/providers/Microsoft.Compute/virtualMachines/SPECDEVOPS1NP1,SPECDEVOPS1NP1,Standard_B2ms,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/spec-eus-np-devops-rg/providers/Microsoft.Network/networkInterfaces/specdevops1np1950,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/spec-eus-np-devops-rg/providers/Microsoft.Network/networkInterfaces/specdevops1np1950,10.15.0.151
/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/spec-eus-np-devops-rg/providers/Microsoft.Compute/virtualMachines/UEMCPYDEVNP1,UEMCPYDEVNP1,Standard_B2ms,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/spec-eus-np-devops-rg/providers/Microsoft.Network/networkInterfaces/uemcpydevnp1655,/subscriptions/44328f0f-3fad-40a5-ae95-390f5b1a0d8c/resourceGroups/spec-eus-np-devops-rg/providers/Microsoft.Network/networkInterfaces/uemcpydevnp1655,10.15.0.152
